frame_num,frame_time,frame_len,src_eth,src_ip,src_port,dst_eth,dst_ip,dst_port,proto,p_length,inter_packet_time
37,"Nov 14, 2024 19:21:25.509479591 IST",84,fc:f5:c4:37:fc:ec,192.168.0.176,59033,e4:5f:01:09:25:51,192.168.0.249,1883,6,84,0.000000000
38,"Nov 14, 2024 19:21:25.509571516 IST",54,e4:5f:01:09:25:51,192.168.0.249,1883,fc:f5:c4:37:fc:ec,192.168.0.176,59033,6,54,0.000091925
70,"Nov 14, 2024 19:21:27.512358670 IST",84,fc:f5:c4:37:fc:ec,192.168.0.176,59033,e4:5f:01:09:25:51,192.168.0.249,1883,6,84,2.002787154
71,"Nov 14, 2024 19:21:27.512409281 IST",54,e4:5f:01:09:25:51,192.168.0.249,1883,fc:f5:c4:37:fc:ec,192.168.0.176,59033,6,54,0.000050611
87,"Nov 14, 2024 19:21:29.514643231 IST",84,fc:f5:c4:37:fc:ec,192.168.0.176,59033,e4:5f:01:09:25:51,192.168.0.249,1883,6,84,2.002233950
88,"Nov 14, 2024 19:21:29.514692768 IST",54,e4:5f:01:09:25:51,192.168.0.249,1883,fc:f5:c4:37:fc:ec,192.168.0.176,59033,6,54,0.000049537
93,"Nov 14, 2024 19:21:29.637889664 IST",78,e4:5f:01:09:25:51,192.168.0.249,1883,fc:f5:c4:37:fc:ec,192.168.0.176,59033,6,78,0.123196896
100,"Nov 14, 2024 19:21:31.517480199 IST",84,fc:f5:c4:37:fc:ec,192.168.0.176,59033,e4:5f:01:09:25:51,192.168.0.249,1883,6,84,1.879590535
101,"Nov 14, 2024 19:21:31.517577958 IST",54,e4:5f:01:09:25:51,192.168.0.249,1883,fc:f5:c4:37:fc:ec,192.168.0.176,59033,6,54,0.000097759
109,"Nov 14, 2024 19:21:33.519333149 IST",84,fc:f5:c4:37:fc:ec,192.168.0.176,59033,e4:5f:01:09:25:51,192.168.0.249,1883,6,84,2.001755191
110,"Nov 14, 2024 19:21:33.519406297 IST",54,e4:5f:01:09:25:51,192.168.0.249,1883,fc:f5:c4:37:fc:ec,192.168.0.176,59033,6,54,0.000073148
126,"Nov 14, 2024 19:21:35.521567044 IST",84,fc:f5:c4:37:fc:ec,192.168.0.176,59033,e4:5f:01:09:25:51,192.168.0.249,1883,6,84,2.002160747
127,"Nov 14, 2024 19:21:35.521593581 IST",54,e4:5f:01:09:25:51,192.168.0.249,1883,fc:f5:c4:37:fc:ec,192.168.0.176,59033,6,54,0.000026537
133,"Nov 14, 2024 19:21:36.977203397 IST",367,28:87:ba:41:b8:b4,192.168.0.1,None,ff:ff:ff:ff:ff:ff,192.168.0.255,None,17,367,None
134,"Nov 14, 2024 19:21:37.524946178 IST",84,fc:f5:c4:37:fc:ec,192.168.0.176,59033,e4:5f:01:09:25:51,192.168.0.249,1883,6,84,2.003352597
135,"Nov 14, 2024 19:21:37.525022770 IST",54,e4:5f:01:09:25:51,192.168.0.249,1883,fc:f5:c4:37:fc:ec,192.168.0.176,59033,6,54,0.000076592
148,"Nov 14, 2024 19:21:39.529253514 IST",84,fc:f5:c4:37:fc:ec,192.168.0.176,59033,e4:5f:01:09:25:51,192.168.0.249,1883,6,84,2.004230744
149,"Nov 14, 2024 19:21:39.529388236 IST",54,e4:5f:01:09:25:51,192.168.0.249,1883,fc:f5:c4:37:fc:ec,192.168.0.176,59033,6,54,0.000134722
170,"Nov 14, 2024 19:21:40.133942304 IST",78,e4:5f:01:09:25:51,192.168.0.249,1883,fc:f5:c4:37:fc:ec,192.168.0.176,59033,6,78,0.604554068
171,"Nov 14, 2024 19:21:40.321863682 IST",54,fc:f5:c4:37:fc:ec,192.168.0.176,59033,e4:5f:01:09:25:51,192.168.0.249,1883,6,54,0.187921378
172,"Nov 14, 2024 19:21:40.322052737 IST",513,e4:5f:01:09:25:51,192.168.0.249,1883,fc:f5:c4:37:fc:ec,192.168.0.176,59033,6,513,0.000189055
173,"Nov 14, 2024 19:21:40.570839693 IST",54,fc:f5:c4:37:fc:ec,192.168.0.176,59033,e4:5f:01:09:25:51,192.168.0.249,1883,6,54,0.248786956
174,"Nov 14, 2024 19:21:41.530323466 IST",84,fc:f5:c4:37:fc:ec,192.168.0.176,59033,e4:5f:01:09:25:51,192.168.0.249,1883,6,84,0.959483773
175,"Nov 14, 2024 19:21:41.530414503 IST",54,e4:5f:01:09:25:51,192.168.0.249,1883,fc:f5:c4:37:fc:ec,192.168.0.176,59033,6,54,0.000091037
176,"Nov 14, 2024 19:21:41.532925648 IST",87,e4:5f:01:09:25:51,192.168.0.249,1883,fc:f5:c4:37:fc:ec,192.168.0.176,59033,6,87,0.002511145
178,"Nov 14, 2024 19:21:41.570427883 IST",54,fc:f5:c4:37:fc:ec,192.168.0.176,59033,e4:5f:01:09:25:51,192.168.0.249,1883,6,54,0.037502235
186,"Nov 14, 2024 19:21:43.532726564 IST",84,fc:f5:c4:37:fc:ec,192.168.0.176,59033,e4:5f:01:09:25:51,192.168.0.249,1883,6,84,1.962298681
187,"Nov 14, 2024 19:21:43.535355135 IST",87,e4:5f:01:09:25:51,192.168.0.249,1883,fc:f5:c4:37:fc:ec,192.168.0.176,59033,6,87,0.002628571
